                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43829,                0.31373,                 0.8506,                0.98836,                0.98882,                0.98835,                0.88514,                0.38493,                0.29011,                0.86686,             0.00021405,             0.00021405,             0.00021405
                     37,                0.43218,                0.31116,                0.85132,                0.98557,                0.98746,                0.98776,                0.88668,                 0.3845,                 0.2979,                0.87026,             0.00018948,             0.00018948,             0.00018948
                     38,                0.42241,                0.30447,                0.84879,                0.98466,                0.98657,                0.98764,                0.89095,                0.37991,                0.28562,                0.87167,             0.00016615,             0.00016615,             0.00016615
                     39,                0.42062,                0.30234,                0.84824,                 0.9856,                0.98914,                0.98843,                0.88805,                0.38146,                0.27551,                0.87166,             0.00014416,             0.00014416,             0.00014416
                     40,                0.41971,                0.30039,                0.84739,                0.98674,                0.98932,                0.98873,                0.89458,                0.36805,                0.27171,                0.86548,              0.0001236,              0.0001236,              0.0001236
                     41,                0.41411,                0.29729,                0.84594,                0.98759,                 0.9892,                0.98816,                0.89498,                0.36755,                0.27507,                 0.8678,             0.00010454,             0.00010454,             0.00010454
                     42,                0.40546,                0.29362,                0.84389,                0.98438,                0.98839,                0.98828,                 0.8942,                0.36421,                0.27078,                0.86706,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     43,                0.40236,                0.29084,                0.84412,                0.98667,                0.98916,                0.98849,                 0.8963,                0.36181,                0.27192,                0.86582,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     44,                 0.4011,                0.28924,                 0.8442,                0.98642,                0.98845,                0.98836,                0.89548,                0.36094,                 0.2709,                0.86597,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     45,                0.39686,                 0.2879,                0.84225,                0.98667,                0.98828,                0.98884,                0.89698,                0.36326,                0.26466,                0.86681,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     46,                0.39429,                0.28372,                 0.8415,                0.98758,                0.98914,                0.98873,                0.89774,                0.35151,                0.25995,                0.86497,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     47,                0.39636,                 0.2866,                0.84136,                0.98755,                0.98929,                0.98863,                0.89775,                0.35205,                0.25959,                  0.865,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     48,                0.38958,                 0.2827,                0.84025,                 0.9878,                0.98947,                0.98886,                0.89614,                0.35526,                0.25981,                0.86632,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     49,                0.39282,                0.28496,                0.84229,                0.98758,                0.98904,                 0.9886,                0.89833,                0.35463,                0.26166,                0.86547,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     50,                0.39055,                0.28202,                0.84093,                0.98658,                0.98908,                0.98884,                0.89812,                0.34986,                 0.2594,                0.86477,             1.0977e-05,             1.0977e-05,             1.0977e-05
